,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
75,3.375,3.375,0.0,0.0,1.866051031,3.3391459740000002e-15,0.0,0.0,-1.571786188e-06,1.0,1.0,1.580684207e-06,0.0,0.0,-8.897944781e-09
76,3.4,3.4,0.0,0.0,1.878088961,3.530443325e-15,0.0,0.0,-1.578057713e-06,1.0,1.0,1.587061877e-06,0.0,0.0,-9.004089257e-09
77,3.4125,3.4125,0.0,0.0,1.884103122,3.628910395e-15,0.0,0.0,-1.581171806e-06,1.0,1.0,1.590229298e-06,0.0,0.0,-9.057418527e-09
78,3.425,3.425,0.0,0.0,1.890114129,3.729276282e-15,0.0,0.0,-1.584271641e-06,1.0,1.0,1.593382629e-06,0.0,0.0,-9.110913573e-09
79,3.45,3.45,0.0,0.0,1.90212682,3.93576246e-15,0.0,0.0,-1.59042908e-06,1.0,1.0,1.59964754e-06,0.0,0.0,-9.218386476e-09
80,3.5,3.5,0.0,0.0,1.926115871,4.372142829e-15,0.0,0.0,-1.602578702e-06,1.0,1.0,1.612013951e-06,0.0,0.0,-9.43517517e-09
81,3.55,3.55,0.0,0.0,1.950058231,4.840436447e-15,0.0,0.0,-1.614514694e-06,1.0,1.0,1.624169016e-06,0.0,0.0,-9.654249153e-09
82,3.6,3.6,0.0,0.0,1.973955889,5.3414243540000004e-15,0.0,0.0,-1.626244488e-06,1.0,1.0,1.636119977e-06,0.0,0.0,-9.875416897e-09
83,3.6125,3.6125,0.0,0.0,1.979923543,5.471864045e-15,0.0,0.0,-1.62914546e-06,1.0,1.0,1.63907656e-06,0.0,0.0,-9.931026541e-09
84,3.61875,3.61875,0.0,0.0,1.982906377,5.5378702810000005e-15,0.0,0.0,-1.630591184e-06,1.0,1.0,1.640550132e-06,0.0,0.0,-9.958874545e-09
85,3.625,3.625,0.0,0.0,1.985888554,5.6044025000000005e-15,0.0,0.0,-1.632033804e-06,1.0,1.0,1.64202063e-06,0.0,0.0,-9.986751477e-09
86,3.65,3.65,0.0,0.0,1.997810739,5.875815458e-15,0.0,0.0,-1.637774048e-06,1.0,1.0,1.647872663e-06,0.0,0.0,-1.009853965e-08
87,3.7,3.7,0.0,0.0,2.021624511,6.444254555e-15,0.0,0.0,-1.649111133e-06,1.0,1.0,1.659434594e-06,0.0,0.0,-1.032338473e-08
88,3.75,3.75,0.0,0.0,2.045398853,7.047318536e-15,0.0,0.0,-1.660262377e-06,1.0,1.0,1.670812274e-06,0.0,0.0,-1.054982025e-08
89,3.8,3.8,0.0,0.0,2.069135355,7.685518715e-15,0.0,0.0,-1.671231809e-06,1.0,1.0,1.682010427e-06,0.0,0.0,-1.077854049e-08
