Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge
2.89E-04,-1.53E-17,,1.57E-04,-2.91E-17,,1.03E-04,-2.99E-17,,7.92E-05,-2.29E-17,,4.58E-05,-2.54E-17
2.90E-04,-1.54E-17,,1.59E-04,-2.95E-17,,1.04E-04,-3.02E-17,,8.02E-05,-2.31E-17,,4.63E-05,-2.56E-17
2.91E-04,-1.55E-17,,1.60E-04,-2.96E-17,,1.05E-04,-3.05E-17,,8.12E-05,-2.34E-17,,4.69E-05,-2.59E-17
2.94E-04,-1.56E-17,,1.61E-04,-2.97E-17,,1.06E-04,-3.06E-17,,8.22E-05,-2.37E-17,,4.77E-05,-2.62E-17
3.00E-04,-1.58E-17,,1.62E-04,-2.98E-17,,1.07E-04,-3.08E-17,,8.32E-05,-2.40E-17,,4.86E-05,-2.66E-17
3.00E-04,-1.59E-17,,1.63E-04,-3.01E-17,,1.07E-04,-3.10E-17,,8.37E-05,-2.41E-17,,4.96E-05,-2.70E-17
3.00E-04,-1.59E-17,,1.65E-04,-3.05E-17,,1.08E-04,-3.12E-17,,8.43E-05,-2.43E-17,,5.06E-05,-2.75E-17
3.01E-04,-1.59E-17,,1.70E-04,-3.12E-17,,1.08E-04,-3.13E-17,,8.51E-05,-2.45E-17,,5.11E-05,-2.77E-17
3.03E-04,-1.60E-17,,1.79E-04,-3.27E-17,,1.09E-04,-3.15E-17,,8.60E-05,-2.48E-17,,5.17E-05,-2.79E-17
3.07E-04,-1.62E-17,,1.82E-04,-3.31E-17,,1.10E-04,-3.18E-17,,8.70E-05,-2.50E-17,,5.24E-05,-2.83E-17
